period,qty_anchor,available_qty,backorder_proxy
2023-01,9.6929,30,0
2023-02,11.6137,30,0
2023-03,11.4607,30,0
2023-04,11.6219,30,0
2023-05,10.616,30,0
2023-06,10.744,30,0
2023-07,11.3343,30,0
2023-08,9.509,30,0
2023-09,9.5122,30,0
2023-10,8.2987,30,0
2023-11,8.7417,30,0
2023-12,9.2224,30,0
2024-01,8.0007,30,0
2024-02,12.0263,30,0
2024-03,12.3397,30,0
2024-04,12.5986,30,0
2024-05,9.7024,30,0
2024-06,8.9073,30,0
2024-07,8.9325,30,0
2024-08,8.4382,30,0
2024-09,0.0,0,1
2024-10,0.0,0,1
2024-11,8.8931,30,0
2024-12,8.2293,30,0
2025-01,10.3704,30,0
2025-02,11.473,30,0
2025-03,10.9387,30,0
2025-04,14.061,30,0
2025-05,12.4,30,0
2025-06,12.4364,30,0
2025-07,9.2556,30,0
2025-08,8.1126,30,0
2025-09,7.8551,30,0
2025-10,7.8723,30,0
2025-11,9.0264,30,0
2025-12,9.2981,30,0
